abs_delta,abs_theta,abs_alpha,abs_sigma,abs_beta,rel_delta,rel_theta,rel_alpha,rel_sigma,rel_beta,spectral_entropy,peak_frequency,sef95
4.4772720888256e-10,7.268458618696324e-11,7.219031668063191e-12,2.833378173369681e-12,8.03528933088033e-12,0.7864756742854057,0.1276774290180386,0.012680919734580933,0.004977099817024927,0.014114754406717483,3.1923264726953127,0.390625,5.078125
3.00854869487511e-10,3.779951464552623e-11,1.0275514809334686e-11,7.444359818207756e-12,2.3814736413651498e-11,0.7661183455412413,0.09625538609969087,0.02616630543066149,0.018956849983030686,0.06064354714220378,3.9558077497918074,0.390625,14.453125
3.51007390720296e-10,1.9463802693558885e-11,1.1528803425939189e-11,4.3069057952920465e-12,1.2939019412057376e-11,0.8570941126150599,0.047526949969677254,0.028151172320308226,0.010516654914750914,0.031594654854215025,3.003616166939254,0.390625,4.6875
1.7092530042407707e-10,1.6505157381477603e-11,1.0940626958953185e-11,1.9494119322210716e-12,5.699187143000655e-12,0.800122874518,0.07726272199419569,0.05121445373919409,0.009125442956417344,0.02667861333553268,3.987177766299676,1.5625,9.375
1.624114899701224e-10,3.251658071754246e-11,9.248746147590603e-12,1.7066360982129846e-12,4.761945957889737e-12,0.7342369802541984,0.1470023828894886,0.04181213683707859,0.007715435252611918,0.021528013940995506,4.161241466881814,1.953125,8.984375
3.7258560940612815e-10,8.682192848671443e-11,8.478288160811218e-12,2.987002746355764e-12,6.994072174789295e-12,0.7236186218834875,0.16862155342221238,0.016466141042419967,0.005801219253543719,0.01358356506721119,3.92690722810118,0.390625,6.25
4.622607127020689e-10,5.5368714361335555e-11,1.069270469372245e-11,8.71596621732318e-12,3.390038712264432e-11,0.7810731692349013,0.09355546775731176,0.018067260559522173,0.014727203003073815,0.05728084191580344,3.8742576278619287,0.390625,13.671875
4.005311409150348e-10,3.9972865322706614e-11,4.7853399707979995e-12,2.169385227171036e-12,7.059154301439739e-12,0.849146360166954,0.08474450455132153,0.010145163766995447,0.0045992068562854095,0.014965765626188902,3.1587583906989183,0.390625,4.6875
2.54746933013634e-10,5.1245104024954483e-11,7.103446644514385e-12,2.7247477287770214e-12,7.514614819507234e-12,0.7392854254352744,0.14871526845245978,0.020614476149024067,0.007907323005003204,0.021807702051998,4.190435284906893,0.390625,7.421875
3.327290006876873e-10,3.3790847685618084e-11,6.4364510327675716e-12,3.997686537884452e-12,1.570473031561823e-11,0.8223724618550091,0.08351740468055241,0.01590832199924363,0.009880675604139855,0.03881578613745972,3.6640125993091575,0.390625,7.03125
3.584239250801899e-10,3.1174256691019635e-11,7.217165151351069e-12,2.9621071815876092e-12,8.545865303380763e-12,0.855430866058972,0.07440190102816754,0.017224815097177514,0.007069499925648342,0.020395951403240666,2.998654550221942,0.390625,4.6875
4.2294245633789337e-10,4.3349764528342595e-11,7.354716553345674e-12,4.0065539671935795e-12,1.2331185844418163e-11,0.8316873811479599,0.08524434374863157,0.014462546518268705,0.007878614044226068,0.024248432635950723,3.2417887814035216,0.390625,5.078125
4.39706503548249e-10,5.677431464717791e-11,7.826980773761617e-12,3.3591138863064846e-12,1.041286950390516e-11,0.8207415982409694,0.10597305558717392,0.0146095831146913,0.006270010740057422,0.019436317384311758,3.666251962459825,0.390625,5.859375
2.336008150977022e-10,3.8584645299412224e-11,5.426765487305088e-12,3.5459220629000596e-12,8.103948091712559e-12,0.7773700792457585,0.12840087377917975,0.018059034233892105,0.01180001753796542,0.02696808556778051,3.452110250833101,0.390625,6.25
1.6195351520910422e-10,1.766445159199888e-11,2.483837170317376e-12,1.6335869754329279e-12,4.7513615150400084e-12,0.8271996892675451,0.09022359810540037,0.012686537447642943,0.008343768498787504,0.024268227606941896,3.734045994135747,0.390625,6.25
2.7015304335126687e-10,2.785231333395716e-11,7.367356790475048e-12,3.3382204466215473e-12,9.772792558475333e-12,0.8234517431784079,0.08489645603058013,0.02245639255614741,0.010175208140483921,0.029788385754121648,3.8481341490539216,0.390625,8.203125
1.723448004648491e-10,2.4469191153523312e-11,5.1749023729455906e-12,3.384512563023425e-12,8.647127231968878e-12,0.7704036326417484,0.10938046115481456,0.023132485435769297,0.015129210549097398,0.03865378133518409,3.8206594322632204,0.390625,8.59375
3.180961983467404e-10,3.758634655555499e-11,8.320863724737306e-12,3.9880058316108175e-12,1.1798774496788244e-11,0.8044922438246476,0.09505905582904337,0.021044169541366748,0.010086004726033037,0.029840100631933465,3.5194873920493777,0.390625,6.640625
2.790459352699213e-10,3.076943328778488e-11,6.343629420648757e-12,3.1417733579324167e-12,7.509414532832236e-12,0.818735227615534,0.09027911100768153,0.018612537296411564,0.009218125764258308,0.02203301119885735,3.582681371461269,0.390625,6.25
