abs_delta,abs_theta,abs_alpha,abs_sigma,abs_beta,rel_delta,rel_theta,rel_alpha,rel_sigma,rel_beta,spectral_entropy,peak_frequency,sef95,approx_entropy,sample_entropy,perm_entropy,higuchi_fd,lz_complexity
4.4772720888256e-10,7.268458618696324e-11,7.219031668063191e-12,2.833378173369681e-12,8.03528933088033e-12,0.7864756742854057,0.1276774290180386,0.012680919734580933,0.004977099817024927,0.014114754406717483,3.1923264726953127,0.390625,5.078125,0.6228329434923663,0.47433017491521684,0.9110605571673321,1.3424028619752537,81
3.00854869487511e-10,3.779951464552623e-11,1.0275514809334686e-11,7.444359818207756e-12,2.3814736413651498e-11,0.7661183455412413,0.09625538609969087,0.02616630543066149,0.018956849983030686,0.06064354714220378,3.9558077497918074,0.390625,14.453125,0.968898264107307,0.7872478036221029,0.9376848768465206,1.5638209092211546,130
3.51007390720296e-10,1.9463802693558885e-11,1.1528803425939189e-11,4.3069057952920465e-12,1.2939019412057376e-11,0.8570941126150599,0.047526949969677254,0.028151172320308226,0.010516654914750914,0.031594654854215025,3.003616166939254,0.390625,4.6875,0.7979063797541075,0.6863484042427788,0.9334943897085236,1.5288977039585259,97
1.7092530042407707e-10,1.6505157381477603e-11,1.0940626958953185e-11,1.9494119322210716e-12,5.699187143000655e-12,0.800122874518,0.07726272199419569,0.05121445373919409,0.009125442956417344,0.02667861333553268,3.987177766299676,1.5625,9.375,1.0528959617912528,0.9579752014798548,0.8979428387200153,1.4574649410676253,110
1.624114899701224e-10,3.251658071754246e-11,9.248746147590603e-12,1.7066360982129846e-12,4.761945957889737e-12,0.7342369802541984,0.1470023828894886,0.04181213683707859,0.007715435252611918,0.021528013940995506,4.161241466881814,1.953125,8.984375,0.9941503743092084,0.9312500861913732,0.8717122991697192,1.428747826520059,118
3.7258560940612815e-10,8.682192848671443e-11,8.478288160811218e-12,2.987002746355764e-12,6.994072174789295e-12,0.7236186218834875,0.16862155342221238,0.016466141042419967,0.005801219253543719,0.01358356506721119,3.92690722810118,0.390625,6.25,0.6925053953827947,0.5648992854852717,0.9075443767383743,1.3321243197732688,96
4.622607127020689e-10,5.5368714361335555e-11,1.069270469372245e-11,8.71596621732318e-12,3.390038712264432e-11,0.7810731692349013,0.09355546775731176,0.018067260559522173,0.014727203003073815,0.05728084191580344,3.8742576278619287,0.390625,13.671875,0.9812574625536112,0.7392704574316508,0.9274072580152415,1.5221428116468134,118
4.005311409150348e-10,3.9972865322706614e-11,4.7853399707979995e-12,2.169385227171036e-12,7.059154301439739e-12,0.849146360166954,0.08474450455132153,0.010145163766995447,0.0045992068562854095,0.014965765626188902,3.1587583906989183,0.390625,4.6875,0.5872732014728728,0.45086443587738795,0.9037767833092535,1.3572643685309889,87
2.54746933013634e-10,5.1245104024954483e-11,7.103446644514385e-12,2.7247477287770214e-12,7.514614819507234e-12,0.7392854254352744,0.14871526845245978,0.020614476149024067,0.007907323005003204,0.021807702051998,4.190435284906893,0.390625,7.421875,0.8869826189518957,0.7573551501730345,0.9195677390089702,1.4384124574726742,119
3.327290006876873e-10,3.3790847685618084e-11,6.4364510327675716e-12,3.997686537884452e-12,1.570473031561823e-11,0.8223724618550091,0.08351740468055241,0.01590832199924363,0.009880675604139855,0.03881578613745972,3.6640125993091575,0.390625,7.03125,0.9732902618697739,0.8509735734037105,0.940999423081383,1.5268581040473002,140
