mean,std,var,skew,kurtosis,rms,zcr,hjorth_activity,hjorth_mobility,hjorth_complexity
1.1706158686467214e-07,3.4163642119257456e-05,1.1671544428527019e-09,0.1692241349014005,2.0179544524887545,3.416384267420486e-05,0.06733333333333333,1.1671544428527019e-09,0.1901317119083333,5.489884451973604
-4.542278913513237e-07,2.4428732918052292e-05,5.967629919815317e-10,0.04272805968761423,2.4887883420955994,2.4432955510105882e-05,0.124,5.967629919815317e-10,0.35349391045458606,3.6135545898211587
5.753864631055541e-07,2.9207447892180836e-05,8.530750123744588e-10,-0.19409126757487116,1.6430804847045923,2.9213114896504684e-05,0.08333333333333333,8.530750123744588e-10,0.22791881996100413,5.483139729234754
-4.079419255892712e-07,1.6378401363039834e-05,2.682520312088251e-10,-0.3488576299121331,-0.28437080939468595,1.6383480943422205e-05,0.08933333333333333,2.682520312088251e-10,0.30147773877979156,3.734135551491144
-1.8852872392849492e-07,1.66220124813225e-05,2.7629129892924094e-10,-0.055818941055465816,1.0978549744074062,1.6623081603871982e-05,0.094,2.7629129892924094e-10,0.3114077911568474,3.225681879319864
7.317126033914061e-08,2.7593320451899887e-05,7.613913335612365e-10,-0.29017871654030275,0.9474657511314883,2.7593417468566235e-05,0.079,7.613913335612365e-10,0.23462665683620434,4.056929872866291
-9.183167201325665e-08,3.070136198254499e-05,9.425736275832587e-10,0.03992986992385617,1.0886966415441162,3.0701499322333483e-05,0.11866666666666667,9.425736275832587e-10,0.33282306061769545,3.8599359202274766
1.8256319170733834e-07,3.109660146028079e-05,9.669986223795376e-10,0.30016239630970787,1.5698503892827205,3.109713735536607e-05,0.07033333333333333,9.669986223795376e-10,0.1797021017465756,5.864521828777332
-1.266328189264836e-07,2.0234837809211326e-05,4.094486611650882e-10,-0.6128607905895807,3.095437642193777,2.023523404944745e-05,0.105,4.094486611650882e-10,0.284008660646855,3.818417037511811
2.2980186107566213e-07,2.5911707874847033e-05,6.714166049914097e-10,0.34310695586992246,2.7634437754064978,2.5912726870917377e-05,0.141,6.714166049914097e-10,0.2804503284247321,4.456200685095452
2.8771421975396637e-08,3.0511988238610207e-05,9.309814262730876e-10,-0.3198052366033276,0.8346134021301053,3.051200180368063e-05,0.051,9.309814262730876e-10,0.19244120454702215,5.84956209684993
-4.8706306608123147e-08,3.242546070126434e-05,1.0514105016892378e-09,0.31888457658554425,1.9191315905048523,3.242549728213187e-05,0.105,1.0514105016892378e-09,0.20917180387282125,5.5228819621078244
-9.421935704505421e-07,3.1001355330088314e-05,9.61084032302395e-10,-0.4457877006322613,1.444986010375815,3.101566960467875e-05,0.07533333333333334,9.61084032302395e-10,0.21380135762768346,5.163637930978509
7.484280901137036e-07,2.5530952593148518e-05,6.51829540313597e-10,0.03676353393141762,2.07297536304704,2.554192014942628e-05,0.092,6.51829540313597e-10,0.22733046184658834,5.018677043157214
-1.579344362476629e-07,1.6716992536881948e-05,2.7945783947816673e-10,-0.23484251310319776,5.9925273066313665,1.6717738566095583e-05,0.09066666666666667,2.7945783947816673e-10,0.24665910345895967,4.654418829218842
7.072243027724675e-07,2.235496676536727e-05,4.997445390806752e-10,-0.27409492642602074,1.8188723347515765,2.236615088241844e-05,0.09866666666666667,4.997445390806752e-10,0.2755061738000296,4.359074205629206
-3.6335654769905233e-07,1.929250251701965e-05,3.7220065336920953e-10,-0.6699084013825602,2.17133818582749,1.929592395688699e-05,0.09766666666666667,3.7220065336920953e-10,0.28616756529769366,4.199342578796854
-1.4060027487704032e-07,2.5666176287925516e-05,6.5875260524287e-10,-0.21249193854661153,0.42310579809666127,2.566656139182196e-05,0.06266666666666666,6.5875260524287e-10,0.24991186362679607,4.6474258191871565
7.307971165441963e-08,2.35585261748628e-05,5.550041555316956e-10,0.08230562280120253,1.041035111742187,2.355863952302745e-05,0.07266666666666667,5.550041555316956e-10,0.2374960417432347,4.830889089092516
6.16625625118621e-08,1.6554535795384996e-05,2.740526554006831e-10,-0.13864244040300416,3.3265954416228265,1.6554650635766937e-05,0.16566666666666666,2.740526554006831e-10,0.3974150285250005,3.2958824611534516
-2.2529101253839528e-07,1.8544717046908226e-05,3.439065303498885e-10,0.4541174395116478,7.490114905247298,1.8546085473495992e-05,0.133,3.439065303498885e-10,0.26412586587377523,4.596038181283424
-7.586454351781756e-08,1.3226186926188926e-05,1.7493202060649085e-10,-0.3816741183465326,2.870648633885673,1.3226404501430237e-05,0.099,1.7493202060649085e-10,0.32944300900466383,3.5558253048038195
2.6673679862876685e-07,1.291772789679491e-05,1.6686769401563347e-10,-0.3995097036397973,3.0545661358560228,1.292048151329416e-05,0.14533333333333334,1.6686769401563347e-10,0.4142670663334801,3.111149332033225
2.0701025910647698e-08,1.1926194798109522e-05,1.422341223624546e-10,-0.21143315255249776,2.54728439520816,1.1926212764114531e-05,0.144,1.422341223624546e-10,0.4151998411144526,3.081812622579306
-4.544633077298785e-08,1.694896436505092e-05,2.8726739304776593e-10,-0.9822145366884273,3.848900463358504,1.69490252940028e-05,0.106,2.8726739304776593e-10,0.2856600330507064,4.21074203683721
-9.310913141303406e-08,2.5060048793056252e-05,6.280060455103601e-10,0.09786526387128061,1.4728748314391522,2.5060221763198998e-05,0.1,6.280060455103601e-10,0.21576780786156338,5.518670888060805
-5.903262560656142e-07,2.2000678994216283e-05,4.840298762065496e-10,0.08893545301886657,0.9994851714906354,2.2008597440435638e-05,0.07333333333333333,4.840298762065496e-10,0.25200235117716596,4.775990699676301
5.73292226008799e-07,1.3819705706630048e-05,1.9098426581786312e-10,-0.26910919441363806,4.979937113151601,1.3831591730320312e-05,0.151,1.9098426581786312e-10,0.39495452434835726,3.272076270446446
1.723954950994445e-07,2.0457963418355514e-05,4.185282672267724e-10,-0.4125142048705349,1.7230394099156232,2.0458689778025936e-05,0.09633333333333334,4.185282672267724e-10,0.2671206211207947,4.594108658043554
4.805490537748448e-08,2.374174064006051e-05,5.636702486199009e-10,0.6500933018309012,2.345810960848752,2.3741789273216786e-05,0.083,5.636702486199009e-10,0.23989750408318486,4.937456797345508
-1.2692261072056025e-07,1.998255551084946e-05,3.9930252474418016e-10,0.35213087981820984,5.46008660000156,1.998295859209272e-05,0.12833333333333333,3.9930252474418016e-10,0.28057439238813237,4.427409856794245
5.3237600774142774e-09,1.2168280657756761e-05,1.4806705416593732e-10,-0.20500268258292265,3.4150579129793117,1.2168281822359255e-05,0.17166666666666666,1.4806705416593732e-10,0.44362812730123197,2.8986964302450327
-2.6065963645484147e-09,1.6983295599983168e-05,2.884323294364076e-10,-0.26962229792680503,3.7700831361529348,1.6983295800013383e-05,0.10933333333333334,2.884323294364076e-10,0.29940597699328536,4.140270061994661
1.6003353822456152e-07,1.6081064981802278e-05,2.5860065094894746e-10,-0.03035538382866233,2.121046155073884,1.608186126299764e-05,0.10833333333333334,2.5860065094894746e-10,0.3285377660221228,3.8209888001011296
-8.225601388598442e-08,1.614328523583803e-05,2.606056582056261e-10,-0.7377582493499707,2.7597478478415534,1.6143494796897185e-05,0.106,2.606056582056261e-10,0.29116621665433523,4.221385823494141
-3.544700570409429e-08,2.3914278025224643e-05,5.718926934677422e-10,0.05731229938551533,1.0741064091186194,2.3914304295922043e-05,0.08266666666666667,5.718926934677422e-10,0.230326199756107,5.165489794137946
-8.458347904810352e-08,2.1302190366719906e-05,4.537833144199744e-10,0.39751501877358325,3.6432157479397915,2.1302358291628236e-05,0.11066666666666666,4.537833144199744e-10,0.2907527655515078,4.447770569203826
6.883678318127329e-08,1.8075848316030197e-05,3.2673629234413175e-10,-0.15252642066025007,2.028441489709996,1.807597938831671e-05,0.09433333333333334,3.2673629234413175e-10,0.2821199383149854,4.318093195347085
-3.693869384367332e-08,1.3029726218923249e-05,1.6977376534009595e-10,-0.298055936982556,1.224620352258559,1.302977857859445e-05,0.15266666666666667,1.6977376534009595e-10,0.4251736645707696,3.0527751352603048
8.69247754520148e-08,1.7209578108720147e-05,2.961695786801397e-10,-0.2989409851394344,2.4060344985849813,1.720979763381101e-05,0.11733333333333333,2.961695786801397e-10,0.3203297902402879,3.9185797693021063
2.3952922838129626e-07,2.5486712372036166e-05,6.495725075349014e-10,-0.12832339151791725,1.668122881123863,2.548783791901836e-05,0.082,6.495725075349014e-10,0.22590392188777636,5.264713565329996
-4.627488239800255e-07,2.0119405827827762e-05,4.047904908648297e-10,1.400204112341969,9.297915061761168,2.012472676432961e-05,0.106,4.047904908648297e-10,0.2455131460526064,4.860122186670987
-6.914401035933088e-08,2.5683391854557067e-05,6.596366171547284e-10,0.38948808474640895,2.880738722075809,2.568348492804076e-05,0.085,6.596366171547284e-10,0.21918570184093195,5.55557854918215
