mean,std,var,skew,kurtosis,rms,zcr,hjorth_activity,hjorth_mobility,hjorth_complexity,approx_entropy,sample_entropy,perm_entropy,higuchi_fd,lz_complexity
1.1706158686467214e-07,3.4163642119257456e-05,1.1671544428527019e-09,0.1692241349014005,2.0179544524887545,3.416384267420486e-05,0.06733333333333333,1.1671544428527019e-09,0.1901317119083333,5.489884451973604,0.6228329434923663,0.47433017491521684,0.9110605571673321,1.3424028619752537,81
-4.542278913513237e-07,2.4428732918052292e-05,5.967629919815317e-10,0.04272805968761423,2.4887883420955994,2.4432955510105882e-05,0.124,5.967629919815317e-10,0.35349391045458606,3.6135545898211587,0.968898264107307,0.7872478036221029,0.9376848768465206,1.5638209092211546,130
5.753864631055541e-07,2.9207447892180836e-05,8.530750123744588e-10,-0.19409126757487116,1.6430804847045923,2.9213114896504684e-05,0.08333333333333333,8.530750123744588e-10,0.22791881996100413,5.483139729234754,0.7979063797541075,0.6863484042427788,0.9334943897085236,1.5288977039585259,97
-4.079419255892712e-07,1.6378401363039834e-05,2.682520312088251e-10,-0.3488576299121331,-0.28437080939468595,1.6383480943422205e-05,0.08933333333333333,2.682520312088251e-10,0.30147773877979156,3.734135551491144,1.0528959617912528,0.9579752014798548,0.8979428387200153,1.4574649410676253,110
-1.8852872392849492e-07,1.66220124813225e-05,2.7629129892924094e-10,-0.055818941055465816,1.0978549744074062,1.6623081603871982e-05,0.094,2.7629129892924094e-10,0.3114077911568474,3.225681879319864,0.9941503743092084,0.9312500861913732,0.8717122991697192,1.428747826520059,118
7.317126033914061e-08,2.7593320451899887e-05,7.613913335612365e-10,-0.29017871654030275,0.9474657511314883,2.7593417468566235e-05,0.079,7.613913335612365e-10,0.23462665683620434,4.056929872866291,0.6925053953827947,0.5648992854852717,0.9075443767383743,1.3321243197732688,96
-9.183167201325665e-08,3.070136198254499e-05,9.425736275832587e-10,0.03992986992385617,1.0886966415441162,3.0701499322333483e-05,0.11866666666666667,9.425736275832587e-10,0.33282306061769545,3.8599359202274766,0.9812574625536112,0.7392704574316508,0.9274072580152415,1.5221428116468134,118
1.8256319170733834e-07,3.109660146028079e-05,9.669986223795376e-10,0.30016239630970787,1.5698503892827205,3.109713735536607e-05,0.07033333333333333,9.669986223795376e-10,0.1797021017465756,5.864521828777332,0.5872732014728728,0.45086443587738795,0.9037767833092535,1.3572643685309889,87
-1.266328189264836e-07,2.0234837809211326e-05,4.094486611650882e-10,-0.6128607905895807,3.095437642193777,2.023523404944745e-05,0.105,4.094486611650882e-10,0.284008660646855,3.818417037511811,0.8869826189518957,0.7573551501730345,0.9195677390089702,1.4384124574726742,119
2.2980186107566213e-07,2.5911707874847033e-05,6.714166049914097e-10,0.34310695586992246,2.7634437754064978,2.5912726870917377e-05,0.141,6.714166049914097e-10,0.2804503284247321,4.456200685095452,0.9732902618697739,0.8509735734037105,0.940999423081383,1.5268581040473002,140
2.8771421975396637e-08,3.0511988238610207e-05,9.309814262730876e-10,-0.3198052366033276,0.8346134021301053,3.051200180368063e-05,0.051,9.309814262730876e-10,0.19244120454702215,5.84956209684993,0.6486814058500987,0.515765994951951,0.9225435196556793,1.4005703479615117,64
-4.8706306608123147e-08,3.242546070126434e-05,1.0514105016892378e-09,0.31888457658554425,1.9191315905048523,3.242549728213187e-05,0.105,1.0514105016892378e-09,0.20917180387282125,5.5228819621078244,0.7086669398874514,0.5618414637170174,0.9271520197729135,1.4388454720782353,117
-9.421935704505421e-07,3.1001355330088314e-05,9.61084032302395e-10,-0.4457877006322613,1.444986010375815,3.101566960467875e-05,0.07533333333333334,9.61084032302395e-10,0.21380135762768346,5.163637930978509,0.7414337109115468,0.6191555761553696,0.9164210174242774,1.3832751951329616,97
7.484280901137036e-07,2.5530952593148518e-05,6.51829540313597e-10,0.03676353393141762,2.07297536304704,2.554192014942628e-05,0.092,6.51829540313597e-10,0.22733046184658834,5.018677043157214,0.7552975270610718,0.5876904557421926,0.9187237866226714,1.4517134050566187,105
-1.579344362476629e-07,1.6716992536881948e-05,2.7945783947816673e-10,-0.23484251310319776,5.9925273066313665,1.6717738566095583e-05,0.09066666666666667,2.7945783947816673e-10,0.24665910345895967,4.654418829218842,0.8170223224097581,0.7127746415987385,0.9249603503551115,1.4771984107137566,117
7.072243027724675e-07,2.235496676536727e-05,4.997445390806752e-10,-0.27409492642602074,1.8188723347515765,2.236615088241844e-05,0.09866666666666667,4.997445390806752e-10,0.2755061738000296,4.359074205629206,0.9066372976610011,0.7503500702661293,0.9333304987254507,1.4786309443672987,105
-3.6335654769905233e-07,1.929250251701965e-05,3.7220065336920953e-10,-0.6699084013825602,2.17133818582749,1.929592395688699e-05,0.09766666666666667,3.7220065336920953e-10,0.28616756529769366,4.199342578796854,0.939119282795307,0.8058578922118818,0.9288748751439706,1.5057105613071946,112
